,Emotion,processed_message
2326,sadness,think men mayb expect get reject tim men might act lik cal shot wom definet think men maybe expect get reject time men might act call shots women definetly
2327,joy,thank enough alway find way mak bet thank enough always find way make better
2328,joy,delight big definit mag delight bigger definition magic
2329,surprise,overwhelm overwhelm
2330,fear,thought lat anxy worry think later anxious worry
2331,joy,get littl twitchy lik someon depend flawless job don end get little twitchy someone depend flawless job do end
2332,sadness,on trail without tot pun one trail without totally punish
2333,joy,friend mad yuuk spec friend make yuuki special
2334,fear,lik assault titan hedgehog assault titanium hedgehog
2335,surprise,daz alon end daze alone end
2336,anger,hat desp detest someon tru car complet lov hate despise detest someone truly care completely love
2337,joy,rememb someon could comfort around remember someone could comfortable around
2338,sadness,disco discourage
2339,fear,thought scar somewh trepidaty nerv sad think scar somewhat trepidatious nervous sad
2340,fear,shy mad sad shy mad sad
2341,anger,insult idiocy felt suprem bor act wound fastforward scen insult idiocy felt supremely bore actually wind fastforwarding scenes
2342,love,bless fre bless free
2343,joy,determin ev determine ever
2344,anger,must ask column mak hat keep log must ask column make hateful keep log
2345,joy,empow wom tru intellig sex enough empower women truly intelligent sex enough
2346,sadness,dislik needy dislike needy
2347,surprise,think back ut amaz grat liv tim four peopl nee famy could find despit thousand mil apart think back utterly amaze grateful live time four people need family could find despite thousands miles apart
2348,sadness,unhappy ev unhappy even
2349,anger,lik rush weekend rush weekend
2350,sadness,lik pun year wean dram punish years wean drama
2351,surprise,impress ia impress ia
2352,fear,know lik lov start get scar act lov know love start get scar actually love
2353,sadness,nee money ow sooooo many peopl money pay back without guil tak money dad need money owe sooooo many people money pay back without guilty take money dad
2354,sadness,simply lik learn unimport stuff simply learn unimportant stuff
2355,sadness,lik alon alone
2356,anger,help jeal help jealous
2357,sadness,bit gloom today weath got money get tub go anywh pretty lik columb road bite gloomy today weather get money get tube go anywhere pretty columbia road
2358,joy,also gorg nail day com concoct three soak pal bod fak brow watch com soon also gorgeous nail day come concoction three soak pale bod fake brown watch come soon
2359,fear,could trem com start get real shaky could tremor come start get real shaky
2360,joy,res peopl sham tel produc altern giv fact let think resent people sham tell productive alternative give facts let think
2361,joy,pretty triumph held littl convers cashy real deaf pretty triumphant hold little conversation cashier realize deaf
2362,sadness,rot talk rotten talk
2363,sadness,ment on fak mention one fake
2364,love,could lov joy prid look two sweet littl fac could love joy pride look two sweet little face
2365,anger,bit annoy antsy good way bite annoy antsy good way
2366,joy,try buy fabr would us project real fab try buy fabrics would use project really fab
2367,sadness,go friend inadequ go friends inadequate
2368,love,hurt lik friend long support struggling hurt friends longer support struggle
2369,sadness,know useless nasty know useless nasty
2370,joy,sleep stil wak help get sleep quick lik going deep relax sleep sleep still wake help get sleep quicker go deeper relax sleep
2371,joy,alway quit smart wear always quite smart wear
2372,joy,sur new necklac com afternoon beach comb sure new necklace come afternoon beach comb
2373,fear,reluct reluctant
2374,love,naughty lik ad littl bourbon naughty add little bourbon
2375,joy,relax comfort relax comfortable
2376,joy,stil fin tel get weak still fine tell get weaker
2377,fear,confus stop dig bit confuse stop dig bite
2378,joy,postpon virtu lab postpone virtuous labor
2379,anger,at hat toward numb eat hateful towards number
2380,sadness,sur anyon understand toward almost lik on troubl teen oft maury sure anyone understand toward almost one trouble teens often maury
2381,love,believ sint part seen tim log prob much devot believe sincere part see time logan probably much devote
2382,sadness,afraid helpless afraid helpless
2383,anger,think angry typ away word evap cyberspac piss hap think angry type away word evaporate cyberspace piss happen
2384,anger,go pres pray wisdom paty inst fury go presence pray wisdom patience instantly furious
2385,joy,gen ahahahah morbid funny generous ahahahaha morbidly funny
2386,love,wish tend bit wish tender bite
2387,sadness,jad stpm sigh jade stpm sigh
2388,sadness,oft find hostil environ leav dam blossom die vin often find hostile environment leave damage blossom die vine
2389,joy,murakam first capt mak belov fan murakami first capture make beloved fan
2390,sadness,homesick nostalg canagl homesick nostalgia canaglia
2391,joy,want someth person apprecy least real sint giv want something personalize appreciate least real sincere give
2392,surprise,enjoy aspect lif hard tim complet overwhelm enjoy aspects life hard time completely overwhelm
2393,joy,lik child got on lick delicy lollypop ev child get one lick delicious lollypop ever
2394,anger,haus offend espec crazy motorcyc get ground lik noth hap bear resembl anyon nor hausa offend especially crazy motorcyclist get grind nothing happen bear resemblance anyone north
2395,fear,lik run circ terr run circle terrify
2396,anger,irrit irritate
2397,joy,lik thing cal art tend real lazy narciss just strengthening thing call artistic tendency really laziness narcissism justify strengthen
2398,sadness,guess sad alon guess sad alone
2399,joy,hug fan london gramm disclos ey perfect collab definit help mak cre huge fan london grammar disclosure eye perfect collaboration definitely help make creative
2400,sadness,person brok stol gift repres nic mem turn someth nic person break steal gift represent nice memory turn something nice
2401,anger,lik warn broth fuck fin edit ev bet film ar direct cut form blu ray warner brothers fuck final edit even better film arrive director cut format blu ray
2402,fear,bit scar consid put post work websit frequ profess art decid suck big girl ask feedback bite scar consider put post work website frequent professional artists decide suck big girl ask feedback
2403,sadness,understand moth bad help way want stil try help understand mother bad help way want still try help
